Route Name,Route Link,Bus Name,Bus Type,Start Time,End Time,Total Duration,Price,Seats Available,Ratings
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Himachal Pradesh Tourism Development Corporation (HPTDC) - 145607,AC Seater (2+2),21:00,06:00,09h 00m,INR 1000,,4.7
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Bedi Travels,Volvo A/C Semi Sleeper (2+2),22:30,08:00,09h 30m,495,,"4.8
1066"
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,City Land Travels,,22:30,06:00,07h 30m,709,,4.0
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,,,,,,,,
Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,,,,,,,,
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,HRTC - 622,Ordinary 3+2 Non AC Seater,21:15,02:30,05h 15m,INR 369,,"2.0
8"
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),21:15,01:20,04h 05m,570,,"4.5
15"
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Northern Travels,Volvo A/C Semi Sleeper (2+2),21:45,01:30,03h 45m,INR 300,,3.2
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,Ram Dalal Holidays,Volvo A/C Semi Sleeper (2+2),22:00,03:10,05h 10m,760,,"5.0
4"
Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh,,,,,,,,
Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh,Northern Travels,Volvo A/C Semi Sleeper (2+2),22:20,02:10,03h 50m,INR 400,,3.2
